"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"0930","Impasse du Bois de l'Amande","NANTES","Amande","Inconnu","NANTES Rue des Roches","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"0222","Avenue des Amandiers","NANTES","Amandiers","PUBLIQUE","NANTES Avenue des Epicéas","NANTES Avenue de l'Alcyon","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0213","Avenue des Amandines","NANTES","Amandines","PRIVEE","NANTES Rue du Croissant","NANTES Rue Alfred Nobel","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0221","Avenue des Amaryllis","NANTES","Amaryllis","PRIVEE","NANTES Rue de Koufra","","TRI'SAC","unique","","mardi et vendredi","","","Nantes Erdre",""
"0223","Rue de l'Amazonie","NANTES","Amazonie","PRIVEE","NANTES Rue des Gobelets","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"0220","Rue Ameline","NANTES","Ameline","PUBLIQUE","NANTES Rue Cochard Polenne","NANTES Rue Leglas Maurice","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0224","Boulevard des Américains","NANTES","Américains","PUBLIQUE","NANTES Boulevard Robert Schuman","NANTES Place Alexandre Vincent","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Breil - Barberie",""
"0226","Chemin des Américains","NANTES","Américains","PUBLIQUE","NANTES Rue Saint Médard","NANTES Rue de la Croix Rouge","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"0225","Pont des Américains","NANTES","Américains","PUBLIQUE","NANTES Chemin des Américains","NANTES Chemin de la Bonnetière","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"0219","Avenue des Améthystes","NANTES","Améthystes","PRIVEE","NANTES Avenue Sagamore","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Doulon - Bottière",""
"3368","Rue des Frères Amieux","NANTES","Amieux","PUBLIQUE","NANTES Rue des Alouettes","NANTES Route de Pompierre","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0244","Rue Ampère","NANTES","Ampère","PUBLIQUE","NANTES Place Saint Clair","NANTES Boulevard de l'Egalité","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0246","Avenue de l'Amphibolite","NANTES","Amphibolite","PRIVEE","NANTES Rue des Bourdonnières","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
